CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 34.550781 1773829294.0433
MEM 34.550781 1773829294.1436
MEM 34.550781 1773829294.2441
MEM 34.550781 1773829294.3445
MEM 34.550781 1773829294.4449
MEM 34.550781 1773829294.5454
MEM 34.550781 1773829294.6458
MEM 34.550781 1773829294.7463
MEM 34.550781 1773829294.8467
MEM 34.550781 1773829294.9472
MEM 34.550781 1773829295.0475
MEM 34.550781 1773829295.1479
MEM 34.550781 1773829295.2483
MEM 34.550781 1773829295.3486
MEM 34.550781 1773829295.4490
MEM 34.550781 1773829295.5493
MEM 34.550781 1773829295.6498
MEM 34.550781 1773829295.7502
MEM 34.550781 1773829295.8506
MEM 34.550781 1773829295.9509
MEM 34.550781 1773829296.0513
MEM 34.550781 1773829296.1517
MEM 34.550781 1773829296.2522
MEM 34.550781 1773829296.3527
MEM 34.550781 1773829296.4532
MEM 34.550781 1773829296.5536
MEM 34.550781 1773829296.6541
MEM 34.550781 1773829296.7546
MEM 34.550781 1773829296.8551
MEM 34.550781 1773829296.9554
MEM 34.550781 1773829297.0558
MEM 34.550781 1773829297.1562
MEM 34.550781 1773829297.2566
MEM 34.550781 1773829297.3571
MEM 34.550781 1773829297.4575
MEM 34.550781 1773829297.5580
MEM 34.550781 1773829297.6583
MEM 34.550781 1773829297.7587
MEM 34.550781 1773829297.8591
MEM 34.550781 1773829297.9595
MEM 34.550781 1773829298.0599
MEM 34.550781 1773829298.1603
MEM 34.550781 1773829298.2606
MEM 34.550781 1773829298.3610
MEM 34.550781 1773829298.4614
MEM 34.550781 1773829298.5618
MEM 34.550781 1773829298.6622
MEM 34.550781 1773829298.7627
MEM 34.550781 1773829298.8631
MEM 34.550781 1773829298.9635
MEM 34.550781 1773829299.0639
MEM 34.550781 1773829299.1642
MEM 34.550781 1773829299.2646
MEM 34.550781 1773829299.3651
MEM 34.550781 1773829299.4656
MEM 34.550781 1773829299.5662
